"ClaimNumber","lat","long","LossCity","lossPostal","County"
"03351e7b7de1d152daf5eaed43572b70",42.442667,-83.846409,"WHITMORE LAKE","48189-9774","LIVINGSTON"
"03363f8aa7dfbd213231583e55c6a8ab",42.860559,-85.660783,"Grand Rapids","49548-5947","KENT"
"03398a6f6459d8c13fef8261ea44fd3f",44.508987,-83.892641,"South Branch","48761","OSCODA"
"03446b0d1b9bdc5befb6e1650f525543",42.867726,-85.870369,"Hudsonville","49426","OTTAWA"
"03469aaad2d41beeb17c623810114a0a",42.667678,-83.28278,"Pontiac","48340","OAKLAND"
"035d3f667e259fadb4757fe891920c3e",43.407795,-83.912611,"Saginaw","48601","SAGINAW"
"035f5957024bcdc086608b2579fddbad",45.834729,-88.05743,"Kingsford","49801","DICKINSON"
"0360a3e86fc95aa72105fdb7404858f0",42.66726,-83.001039,"Shelby Township","48315","MACOMB"
"03619328c4730062ae0329934b0d2c6a",42.720051,-85.779287,"Dorr","49323","ALLEGAN"
"0363f5e7fd8f498127b1146fac210415",42.66726,-83.001039,"Shelby Township","48315","MACOMB"
"0367c8d317e6f4fcbd0301851befdb56",42.564732,-83.068295,"Sterling Heights","48310","MACOMB"
"037bcffc197261fe4dc83d226367ec38",42.960989,-85.502549,"Ada","49301","KENT"
"0388a9dcf79b362faf0bde9e04aa46ea",43.965218,-86.433685,"Ludington","49431-1521","MASON"
"038de5c893122968111d2314c2025ead",42.231223,-83.262935,"Taylor","48180","WAYNE"
"038fc76e2151d2a74eae0750ffdfa7fa",41.88858,-83.781947,"Deerfield","49238","LENAWEE"
"03990984964f7f3f3e7e0f512504c0af",45.013243,-84.675804,"Gaylord","49734","OTSEGO"
"039bcbda1d35da60bced34fabea807c6",46.492978,-84.333672,"SAULT SAINTE MARIE","49783-2326","CHIPPEWA"
"03a566ad3ab6f7b5ed1a6ab5882d9314",43.023316,-83.686511,"Flint","48501","GENESEE"
"03aa0afa3ad708164147e762f0dcd0d7",42.673377,-82.777159,"Chesterfield","48047","MACOMB"
"03abad1ac5f354f8e6a74fb64cd5069e",43.406066,-83.166484,"Kingston","48741","TUSCOLA"
"03ac8f5c5bbb2baa471db52ea8527393",42.732659,-84.556047,"Lansing","48901","INGHAM"
"03b51da7f7c0174b4b20129269b00d0e",41.906478,-83.41815,"Monroe","48161","MONROE"
"03b9f0573584abd37829707c213a20c3",42.721283,-83.285023,"Lake Orion","48359","OAKLAND"
"03c2b13d1aa03c8a5f1193798d739281",42.867726,-85.870369,"Hudsonville","49426","OTTAWA"
"03c4858f2d54cb1e5ea98b9a0fb081db",44.266098,-83.530072,"Tawas City","48763","IOSCO"
"03c6eff4146660e1a9b5ac3fe6aebd7b",42.909188,-85.504978,"Grand Rapids","49546-7136","KENT"
"03c842706dfae66cce4d0afe7b9625e7",43.601913,-83.91718,"Bay City","48706","BAY"
"03ce6b15dfe5a1873d15ee52281a36cd",42.509874,-83.408043,"Farmington Hills","48331","OAKLAND"
"03d1c6d6af37275f799471b55118003e",42.828624,-82.775225,"Richmond","48062","MACOMB"
"03d42cd65869f5225a978ac2bbc8cb9d",42.888142,-85.570444,"Kentwood","49512","KENT"
"03de15ef48cd383145e7512474ce13ff",42.961263,-85.661612,"Wyoming","49503","KENT"
"03e34db2680ec0ff0a821f70d06f2d9f",42.502868,-83.04667,"Warren","48090","MACOMB"
"03e34f299a8109634a8f55608253e77f",38.243547,-85.763887,"Louisville","40201",NA
"03ea5387b26956df1962236a9ed8df8c",42.349831,-83.059548,"Detroit","48201","WAYNE"
"03edd6de790fc042259d838c326fc3da",42.717665,-83.151926,"Rochester","48306","OAKLAND"
"03ee10626104634596fa1cc0f26b0541",42.507987,-83.10592,"Madison Heights","48071","OAKLAND"
"03f1c65a547bd050dc80ab01a658b60f",42.698972,-83.306457,"Auburn Hills","48321","OAKLAND"
"03f5a303e0f9096640a77bd1e4d3c818",43.660141,-83.973529,"Kawkawlin","48631","BAY"
"03f6cbcd5d3f6e87bd3cdf2411a055ee",42.107368,-83.732257,"Milan","48160","WASHTENAW"
"041e4633a06467375e48265b83681de5",42.673377,-82.777159,"Chesterfield","48047","MACOMB"
"041e7e43453dcccaa3e484a905dcedd1",43.196267,-83.881665,"Montrose","48457-9794","GENESEE"
"0420293483afd45ef6d58062e6b05bc4",43.235857,-86.250162,"Muskegon","49440","MUSKEGON"
"04288da08736e7f9dae421559196a839",42.509874,-83.408043,"Farmington Hills","48331","OAKLAND"
